angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.27,"[776, 263, 295, 372]",0.0,0.15,0.0,0.31,0.21,0.06
0.27,"[776, 263, 295, 372]",0.0,0.15,0.0,0.32,0.21,0.06
0.27,"[776, 263, 295, 372]",0.0,0.15,0.0,0.32,0.21,0.06
0.26,"[782, 267, 288, 364]",0.0,0.24,0.0,0.29,0.16,0.05
0.3,"[779, 266, 291, 368]",0.0,0.24,0.0,0.21,0.2,0.05
0.29,"[779, 266, 290, 366]",0.0,0.17,0.0,0.33,0.18,0.03
0.29,"[779, 266, 290, 366]",0.0,0.17,0.0,0.33,0.18,0.03
0.29,"[779, 266, 290, 366]",0.0,0.17,0.0,0.33,0.18,0.03
0.06,"[778, 269, 289, 364]",0.0,0.21,0.0,0.31,0.41,0.0
0.06,"[778, 269, 289, 364]",0.0,0.21,0.0,0.32,0.4,0.0
0.22,"[777, 267, 290, 366]",0.0,0.21,0.0,0.31,0.26,0.0
0.22,"[777, 267, 290, 366]",0.0,0.21,0.0,0.31,0.26,0.0
0.22,"[777, 267, 290, 366]",0.0,0.21,0.0,0.31,0.26,0.0
0.27,"[775, 265, 296, 371]",0.0,0.19,0.0,0.28,0.24,0.02
0.26,"[775, 265, 296, 371]",0.0,0.19,0.0,0.29,0.24,0.02
0.21,"[778, 266, 292, 367]",0.0,0.25,0.0,0.29,0.23,0.03
0.21,"[778, 266, 292, 367]",0.0,0.25,0.0,0.29,0.23,0.02
0.21,"[778, 266, 292, 367]",0.0,0.24,0.0,0.29,0.23,0.02
0.2,"[780, 268, 284, 361]",0.0,0.2,0.0,0.29,0.3,0.02
0.2,"[780, 268, 284, 361]",0.0,0.2,0.0,0.28,0.3,0.02
0.2,"[780, 269, 285, 361]",0.0,0.21,0.0,0.3,0.27,0.02
0.2,"[780, 269, 285, 361]",0.0,0.21,0.0,0.3,0.27,0.02
0.2,"[780, 269, 285, 361]",0.0,0.21,0.0,0.3,0.27,0.02
0.24,"[780, 263, 287, 373]",0.0,0.23,0.0,0.28,0.2,0.05
0.24,"[780, 263, 287, 373]",0.0,0.23,0.0,0.28,0.2,0.05
0.21,"[780, 264, 287, 373]",0.0,0.19,0.0,0.32,0.2,0.07
0.21,"[780, 264, 287, 373]",0.0,0.2,0.0,0.32,0.2,0.07
0.21,"[780, 264, 287, 373]",0.0,0.2,0.0,0.32,0.2,0.07
0.24,"[770, 262, 295, 373]",0.0,0.2,0.0,0.33,0.19,0.04
0.24,"[770, 262, 295, 373]",0.0,0.2,0.0,0.33,0.19,0.04
0.19,"[768, 261, 296, 373]",0.0,0.17,0.0,0.39,0.17,0.07
0.2,"[770, 261, 295, 373]",0.0,0.2,0.0,0.35,0.17,0.07
0.2,"[770, 261, 295, 373]",0.0,0.2,0.0,0.35,0.17,0.07
0.31,"[770, 266, 288, 362]",0.0,0.3,0.0,0.17,0.16,0.06
0.31,"[770, 266, 288, 362]",0.0,0.3,0.0,0.18,0.16,0.06
0.24,"[775, 255, 283, 372]",0.0,0.23,0.0,0.29,0.18,0.06
0.24,"[775, 255, 283, 372]",0.0,0.23,0.0,0.29,0.18,0.06
0.24,"[775, 255, 283, 372]",0.0,0.23,0.0,0.29,0.18,0.06
0.26,"[775, 256, 282, 371]",0.0,0.19,0.0,0.31,0.17,0.06
0.23,"[775, 255, 281, 370]",0.0,0.22,0.0,0.29,0.19,0.07
0.23,"[776, 255, 281, 371]",0.0,0.22,0.0,0.32,0.17,0.05
0.22,"[776, 255, 281, 371]",0.0,0.22,0.0,0.32,0.18,0.06
0.22,"[776, 255, 281, 371]",0.0,0.22,0.0,0.32,0.18,0.06
0.22,"[778, 250, 280, 381]",0.0,0.17,0.01,0.33,0.16,0.11
0.21,"[778, 250, 280, 381]",0.0,0.17,0.01,0.34,0.16,0.11
0.18,"[780, 256, 278, 369]",0.0,0.24,0.0,0.31,0.14,0.13
0.2,"[778, 249, 280, 382]",0.0,0.15,0.01,0.39,0.16,0.09
0.2,"[778, 249, 280, 382]",0.0,0.15,0.01,0.39,0.16,0.09
0.21,"[780, 250, 280, 382]",0.0,0.19,0.01,0.29,0.17,0.14
0.21,"[780, 250, 280, 382]",0.0,0.19,0.01,0.3,0.17,0.13
0.19,"[778, 254, 281, 368]",0.0,0.22,0.0,0.28,0.24,0.07
0.18,"[778, 255, 281, 367]",0.0,0.24,0.0,0.27,0.26,0.06
0.18,"[778, 255, 281, 367]",0.0,0.23,0.0,0.27,0.26,0.06
0.19,"[779, 258, 279, 364]",0.0,0.25,0.0,0.24,0.26,0.06
0.19,"[779, 258, 279, 364]",0.0,0.25,0.0,0.24,0.26,0.06
0.07,"[777, 270, 282, 351]",0.0,0.33,0.0,0.24,0.36,0.0
0.06,"[778, 269, 281, 352]",0.0,0.33,0.0,0.26,0.35,0.0
0.06,"[778, 269, 281, 352]",0.0,0.33,0.0,0.26,0.36,0.0
0.15,"[776, 261, 288, 365]",0.0,0.26,0.0,0.29,0.29,0.0
0.15,"[776, 261, 288, 365]",0.0,0.26,0.0,0.3,0.3,0.0
0.21,"[778, 266, 285, 357]",0.0,0.24,0.0,0.3,0.24,0.01
0.23,"[779, 268, 284, 355]",0.0,0.24,0.0,0.3,0.22,0.01
0.23,"[779, 268, 284, 355]",0.0,0.24,0.0,0.3,0.22,0.01
0.29,"[778, 266, 286, 360]",0.0,0.23,0.0,0.28,0.18,0.02
0.27,"[778, 265, 286, 361]",0.0,0.26,0.0,0.24,0.2,0.02
0.32,"[779, 265, 286, 361]",0.0,0.28,0.0,0.21,0.17,0.02
0.31,"[779, 265, 286, 361]",0.0,0.28,0.0,0.21,0.17,0.03
0.31,"[779, 265, 286, 361]",0.0,0.28,0.0,0.21,0.17,0.03
0.28,"[782, 267, 284, 357]",0.0,0.32,0.0,0.21,0.15,0.04
0.28,"[782, 268, 283, 355]",0.0,0.28,0.0,0.25,0.16,0.04
0.28,"[784, 270, 281, 352]",0.0,0.39,0.0,0.16,0.13,0.04
0.24,"[784, 269, 281, 353]",0.0,0.39,0.0,0.17,0.15,0.05
0.24,"[784, 269, 281, 353]",0.0,0.39,0.0,0.17,0.15,0.05
0.31,"[779, 262, 287, 362]",0.0,0.28,0.0,0.2,0.16,0.04
0.3,"[779, 261, 287, 363]",0.0,0.27,0.0,0.2,0.17,0.06
0.33,"[779, 263, 287, 361]",0.0,0.29,0.0,0.18,0.14,0.05
0.33,"[779, 263, 287, 361]",0.0,0.29,0.0,0.18,0.14,0.05
0.33,"[779, 263, 287, 361]",0.0,0.29,0.0,0.18,0.14,0.05
0.38,"[782, 272, 283, 352]",0.0,0.29,0.0,0.16,0.12,0.05
0.38,"[782, 272, 283, 352]",0.0,0.29,0.0,0.16,0.12,0.05
0.43,"[784, 277, 281, 351]",0.0,0.31,0.0,0.11,0.1,0.04
0.43,"[784, 277, 281, 351]",0.0,0.31,0.0,0.11,0.11,0.04
0.43,"[784, 277, 281, 351]",0.0,0.31,0.0,0.11,0.11,0.04
0.23,"[777, 262, 298, 374]",0.0,0.22,0.0,0.31,0.18,0.05
0.24,"[777, 262, 298, 375]",0.0,0.23,0.0,0.29,0.16,0.08
0.31,"[778, 263, 298, 375]",0.0,0.19,0.0,0.22,0.18,0.1
0.31,"[778, 263, 298, 375]",0.0,0.19,0.0,0.22,0.18,0.1
0.31,"[778, 263, 298, 375]",0.0,0.19,0.0,0.22,0.18,0.1
0.25,"[777, 262, 299, 377]",0.0,0.2,0.0,0.3,0.18,0.08
0.25,"[777, 262, 299, 377]",0.0,0.19,0.0,0.3,0.18,0.08
0.2,"[782, 283, 290, 363]",0.0,0.31,0.0,0.31,0.11,0.07
0.19,"[782, 283, 290, 364]",0.0,0.25,0.0,0.38,0.12,0.06
0.19,"[782, 283, 290, 364]",0.0,0.25,0.0,0.38,0.12,0.06
0.13,"[778, 261, 294, 375]",0.0,0.22,0.0,0.45,0.11,0.09
0.14,"[778, 261, 294, 375]",0.0,0.22,0.0,0.44,0.11,0.09
0.18,"[781, 256, 280, 381]",0.0,0.18,0.0,0.35,0.14,0.14
0.16,"[780, 251, 284, 390]",0.0,0.17,0.0,0.39,0.17,0.11
0.16,"[780, 251, 284, 390]",0.0,0.17,0.0,0.39,0.17,0.11
0.15,"[780, 252, 285, 390]",0.0,0.15,0.0,0.43,0.14,0.12
0.16,"[780, 252, 285, 390]",0.0,0.15,0.0,0.42,0.15,0.12
0.21,"[776, 264, 296, 375]",0.0,0.2,0.0,0.35,0.13,0.1
0.26,"[775, 264, 297, 376]",0.0,0.18,0.0,0.33,0.14,0.09
0.24,"[775, 263, 297, 377]",0.0,0.17,0.0,0.37,0.12,0.09
0.18,"[785, 264, 282, 371]",0.0,0.26,0.0,0.28,0.09,0.19
0.18,"[785, 264, 282, 371]",0.0,0.25,0.0,0.28,0.09,0.18
0.13,"[781, 282, 289, 367]",0.0,0.15,0.0,0.58,0.11,0.04
0.12,"[780, 282, 291, 368]",0.0,0.18,0.0,0.54,0.13,0.04
0.12,"[780, 282, 291, 368]",0.0,0.18,0.0,0.54,0.13,0.04
0.31,"[780, 266, 292, 369]",0.0,0.24,0.0,0.19,0.12,0.15
0.34,"[779, 264, 294, 372]",0.0,0.2,0.0,0.19,0.13,0.14
0.38,"[781, 267, 290, 365]",0.0,0.23,0.0,0.12,0.16,0.11
0.37,"[781, 267, 290, 365]",0.0,0.24,0.0,0.12,0.15,0.11
0.37,"[781, 267, 290, 365]",0.0,0.24,0.0,0.12,0.15,0.11
0.43,"[780, 266, 287, 364]",0.0,0.1,0.0,0.23,0.19,0.05
0.45,"[780, 265, 287, 365]",0.0,0.1,0.0,0.23,0.17,0.06
0.3,"[780, 259, 284, 361]",0.0,0.05,0.0,0.3,0.34,0.02
0.29,"[780, 258, 284, 362]",0.0,0.04,0.0,0.32,0.32,0.02
0.29,"[780, 258, 284, 362]",0.0,0.04,0.0,0.32,0.32,0.02
0.35,"[789, 268, 276, 352]",0.0,0.09,0.0,0.27,0.25,0.03
0.35,"[789, 268, 276, 352]",0.0,0.1,0.0,0.27,0.26,0.03
0.52,"[790, 278, 273, 343]",0.0,0.16,0.0,0.14,0.09,0.09
0.49,"[789, 277, 274, 344]",0.0,0.15,0.0,0.18,0.08,0.09
0.49,"[789, 277, 274, 344]",0.0,0.15,0.0,0.18,0.08,0.09
0.36,"[789, 269, 287, 378]",0.0,0.22,0.0,0.14,0.06,0.23
0.35,"[789, 269, 287, 378]",0.0,0.22,0.0,0.14,0.06,0.23
0.31,"[797, 272, 278, 369]",0.0,0.25,0.0,0.09,0.04,0.31
0.31,"[797, 272, 278, 369]",0.0,0.25,0.0,0.09,0.04,0.31
0.31,"[797, 272, 278, 369]",0.0,0.25,0.0,0.09,0.04,0.31
0.44,"[794, 272, 283, 368]",0.0,0.23,0.0,0.12,0.03,0.18
0.4,"[794, 273, 282, 367]",0.0,0.24,0.0,0.12,0.03,0.21
0.44,"[785, 269, 291, 372]",0.0,0.15,0.0,0.26,0.1,0.04
0.45,"[785, 269, 291, 372]",0.0,0.15,0.0,0.26,0.1,0.04
0.45,"[785, 269, 291, 372]",0.0,0.15,0.0,0.26,0.1,0.04
0.52,"[792, 279, 270, 343]",0.0,0.18,0.0,0.14,0.1,0.05
0.53,"[792, 279, 270, 343]",0.0,0.18,0.0,0.14,0.1,0.05
0.22,"[794, 280, 270, 343]",0.0,0.19,0.0,0.34,0.24,0.01
0.23,"[794, 280, 270, 343]",0.0,0.19,0.0,0.34,0.23,0.01
0.23,"[794, 280, 270, 343]",0.0,0.19,0.0,0.34,0.23,0.01
0.32,"[785, 275, 279, 357]",0.0,0.17,0.0,0.36,0.15,0.0
0.3,"[785, 274, 279, 358]",0.0,0.2,0.0,0.33,0.17,0.0
0.24,"[786, 269, 284, 358]",0.0,0.32,0.0,0.24,0.19,0.01
0.24,"[786, 269, 284, 358]",0.0,0.32,0.0,0.24,0.19,0.01
0.24,"[786, 269, 284, 358]",0.0,0.32,0.0,0.24,0.19,0.01
0.17,"[788, 263, 285, 360]",0.0,0.19,0.0,0.28,0.34,0.01
0.16,"[788, 263, 286, 360]",0.0,0.2,0.0,0.28,0.34,0.02
0.15,"[789, 263, 285, 359]",0.0,0.22,0.0,0.25,0.36,0.01
0.17,"[789, 262, 285, 360]",0.0,0.19,0.0,0.24,0.39,0.01
0.17,"[789, 262, 285, 360]",0.0,0.19,0.0,0.24,0.39,0.01
0.17,"[791, 264, 284, 359]",0.0,0.19,0.0,0.28,0.33,0.03
0.18,"[791, 264, 284, 358]",0.0,0.16,0.0,0.28,0.37,0.02
0.2,"[790, 251, 275, 343]",0.0,0.38,0.0,0.19,0.18,0.05
0.2,"[790, 251, 275, 343]",0.0,0.38,0.0,0.19,0.18,0.04
0.19,"[789, 252, 275, 341]",0.0,0.37,0.0,0.22,0.17,0.04
0.19,"[789, 252, 275, 341]",0.0,0.38,0.0,0.22,0.17,0.04
0.17,"[790, 252, 275, 341]",0.0,0.4,0.0,0.22,0.16,0.05
0.17,"[790, 252, 275, 341]",0.0,0.41,0.0,0.22,0.15,0.05
0.17,"[792, 251, 275, 344]",0.0,0.4,0.0,0.23,0.16,0.04
0.18,"[794, 252, 274, 344]",0.0,0.38,0.0,0.24,0.17,0.02
0.15,"[793, 253, 274, 343]",0.0,0.39,0.0,0.26,0.18,0.02
0.19,"[795, 251, 275, 346]",0.0,0.37,0.0,0.22,0.19,0.02
0.2,"[794, 252, 275, 344]",0.0,0.37,0.0,0.22,0.19,0.02
0.2,"[794, 252, 275, 344]",0.0,0.37,0.0,0.22,0.19,0.02
0.2,"[793, 249, 277, 348]",0.0,0.46,0.0,0.16,0.13,0.05
0.2,"[794, 250, 276, 346]",0.0,0.44,0.0,0.18,0.13,0.05
0.19,"[794, 249, 277, 349]",0.0,0.49,0.0,0.14,0.12,0.06
0.23,"[794, 248, 277, 350]",0.0,0.46,0.0,0.12,0.13,0.05
0.23,"[794, 248, 277, 350]",0.0,0.46,0.0,0.12,0.13,0.05
0.17,"[795, 253, 274, 342]",0.0,0.4,0.0,0.23,0.14,0.06
0.17,"[795, 253, 274, 342]",0.0,0.41,0.0,0.23,0.14,0.06
0.19,"[795, 252, 275, 343]",0.0,0.39,0.0,0.21,0.16,0.05
0.19,"[795, 252, 275, 343]",0.0,0.39,0.0,0.21,0.16,0.05
0.19,"[795, 252, 275, 343]",0.0,0.39,0.0,0.21,0.16,0.05
0.08,"[792, 246, 279, 357]",0.0,0.32,0.0,0.35,0.25,0.0
0.08,"[792, 246, 279, 357]",0.0,0.32,0.0,0.35,0.25,0.0
0.2,"[796, 250, 275, 346]",0.0,0.27,0.0,0.28,0.25,0.0
0.2,"[796, 250, 275, 346]",0.0,0.26,0.0,0.28,0.25,0.0
0.2,"[796, 250, 275, 346]",0.0,0.26,0.0,0.28,0.25,0.0
0.18,"[794, 251, 275, 344]",0.0,0.33,0.0,0.3,0.18,0.01
0.21,"[793, 250, 275, 346]",0.0,0.26,0.0,0.34,0.18,0.01
0.16,"[794, 253, 275, 342]",0.0,0.4,0.0,0.24,0.17,0.03
0.15,"[793, 251, 276, 345]",0.0,0.43,0.0,0.24,0.16,0.02
0.15,"[793, 253, 275, 342]",0.0,0.35,0.0,0.29,0.18,0.02
0.15,"[793, 250, 277, 348]",0.0,0.46,0.0,0.21,0.15,0.03
0.15,"[793, 250, 277, 348]",0.0,0.46,0.0,0.21,0.15,0.03
0.2,"[795, 251, 276, 348]",0.0,0.39,0.0,0.23,0.14,0.04
0.2,"[795, 251, 276, 348]",0.0,0.38,0.0,0.23,0.14,0.04
0.2,"[795, 251, 276, 348]",0.0,0.38,0.0,0.23,0.14,0.04
0.15,"[785, 248, 282, 360]",0.0,0.19,0.0,0.52,0.11,0.03
0.16,"[786, 249, 281, 359]",0.0,0.18,0.0,0.51,0.11,0.03
0.17,"[785, 249, 281, 359]",0.0,0.21,0.0,0.47,0.11,0.03
0.18,"[785, 249, 281, 359]",0.0,0.21,0.0,0.47,0.11,0.03
0.18,"[785, 249, 281, 359]",0.0,0.21,0.0,0.47,0.11,0.03
0.13,"[788, 253, 282, 357]",0.0,0.27,0.0,0.43,0.13,0.05
0.13,"[788, 252, 281, 358]",0.0,0.28,0.0,0.42,0.12,0.05
0.15,"[790, 254, 279, 355]",0.0,0.36,0.0,0.31,0.13,0.05
0.15,"[790, 254, 279, 355]",0.0,0.35,0.0,0.31,0.13,0.05
0.15,"[790, 254, 279, 355]",0.0,0.35,0.0,0.31,0.13,0.05
0.21,"[787, 250, 281, 360]",0.0,0.37,0.0,0.26,0.09,0.07
0.21,"[787, 250, 281, 360]",0.0,0.36,0.0,0.26,0.09,0.08
0.12,"[789, 253, 282, 359]",0.0,0.52,0.0,0.06,0.03,0.27
0.12,"[789, 253, 282, 359]",0.0,0.51,0.0,0.07,0.03,0.27
0.12,"[789, 253, 282, 359]",0.0,0.52,0.0,0.07,0.03,0.27
0.12,"[788, 251, 283, 360]",0.0,0.54,0.0,0.09,0.05,0.21
0.12,"[788, 251, 283, 360]",0.0,0.54,0.0,0.09,0.05,0.2
0.13,"[792, 255, 278, 355]",0.0,0.53,0.0,0.04,0.03,0.27
0.13,"[792, 255, 278, 355]",0.0,0.53,0.0,0.04,0.03,0.27
0.13,"[792, 255, 278, 355]",0.0,0.53,0.0,0.04,0.03,0.27
0.06,"[788, 250, 282, 362]",0.0,0.46,0.0,0.02,0.01,0.45
0.05,"[789, 251, 282, 361]",0.0,0.43,0.0,0.01,0.01,0.5
0.04,"[788, 251, 282, 361]",0.0,0.35,0.0,0.01,0.0,0.61
0.07,"[787, 249, 282, 362]",0.0,0.4,0.0,0.01,0.01,0.52
0.04,"[788, 251, 283, 362]",0.0,0.36,0.0,0.01,0.0,0.59
0.07,"[788, 250, 283, 361]",0.0,0.3,0.0,0.01,0.0,0.62
0.07,"[788, 250, 283, 361]",0.0,0.29,0.0,0.01,0.0,0.62
0.15,"[791, 253, 283, 361]",0.0,0.29,0.0,0.02,0.01,0.53
0.1,"[790, 252, 283, 361]",0.0,0.29,0.0,0.02,0.01,0.58
0.1,"[790, 252, 283, 361]",0.0,0.29,0.0,0.02,0.01,0.58
0.14,"[789, 251, 282, 359]",0.0,0.29,0.0,0.02,0.01,0.53
0.15,"[790, 252, 282, 360]",0.0,0.35,0.0,0.02,0.01,0.47
0.13,"[789, 250, 273, 346]",0.0,0.25,0.0,0.01,0.01,0.6
0.13,"[789, 250, 273, 346]",0.0,0.25,0.0,0.01,0.01,0.6
0.13,"[789, 250, 273, 346]",0.0,0.25,0.0,0.01,0.01,0.6
0.1,"[784, 241, 286, 352]",0.0,0.13,0.0,0.01,0.01,0.74
0.1,"[783, 242, 287, 351]",0.0,0.13,0.0,0.01,0.01,0.75
0.36,"[794, 234, 275, 358]",0.0,0.11,0.13,0.03,0.03,0.34
0.35,"[794, 235, 275, 357]",0.0,0.12,0.11,0.03,0.03,0.36
0.35,"[794, 235, 275, 357]",0.0,0.12,0.11,0.03,0.03,0.36
0.04,"[788, 237, 266, 343]",0.0,0.04,0.87,0.01,0.0,0.03
0.05,"[789, 238, 265, 341]",0.0,0.04,0.86,0.01,0.0,0.04
0.01,"[788, 232, 273, 351]",0.0,0.01,0.97,0.0,0.0,0.01
0.01,"[789, 232, 272, 350]",0.0,0.01,0.97,0.0,0.0,0.01
0.01,"[789, 232, 272, 350]",0.0,0.01,0.97,0.0,0.0,0.01
0.0,"[788, 233, 271, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[788, 232, 272, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[789, 227, 265, 350]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[789, 227, 265, 349]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[789, 227, 265, 350]",0.0,0.0,0.98,0.0,0.0,0.01
0.01,"[788, 225, 264, 351]",0.0,0.01,0.98,0.0,0.0,0.01
0.01,"[788, 225, 264, 351]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[800, 232, 257, 339]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[800, 231, 257, 340]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[800, 231, 257, 340]",0.0,0.01,0.98,0.0,0.0,0.01
0.0,"[798, 231, 256, 340]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[798, 231, 256, 339]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[797, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[797, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[797, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[795, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[795, 230, 257, 341]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[784, 224, 264, 350]",0.0,0.01,0.97,0.0,0.0,0.01
0.0,"[784, 224, 264, 350]",0.0,0.01,0.97,0.0,0.0,0.01
0.0,"[784, 224, 264, 350]",0.0,0.01,0.97,0.0,0.0,0.01
0.0,"[783, 229, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 229, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[783, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[782, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[782, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[782, 230, 266, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[780, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 231, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 230, 267, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[780, 231, 267, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 232, 269, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 232, 267, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 232, 267, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 233, 269, 353]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 234, 269, 352]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 233, 268, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 233, 268, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 233, 268, 355]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 231, 265, 352]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[777, 232, 265, 351]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[778, 234, 268, 355]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[778, 235, 269, 354]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[779, 234, 268, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 235, 271, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[777, 235, 271, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 235, 271, 354]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 233, 270, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[778, 233, 270, 350]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 232, 267, 351]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[779, 232, 268, 351]",0.0,0.0,0.99,0.0,0.0,0.0
